Date	Temperature	DewPoint	Pressure
1/1/2010 0:00	46.2	37.5	1
1/1/2010 1:00	44.6	37.1	1
1/1/2010 2:00	44.1	36.9	1
1/1/2010 3:00	43.8	36.9	1
1/1/2010 4:00	43.5	36.8	1
1/1/2010 5:00	43	36.5	1
1/1/2010 6:00	43.1	36.3	1
1/1/2010 7:00	42.3	35.9	1
1/1/2010 8:00	42.5	36.2	1
1/1/2010 9:00	45.9	37.8	1
1/1/2010 10:00	49.4	38.3	1
1/1/2010 11:00	52.4	38.3	1
1/1/2010 12:00	54.9	38.2	1
1/1/2010 13:00	57.1	38.5	1
1/1/2010 14:00	58.4	38.2	1
1/1/2010 15:00	59.1	38.3	1
1/1/2010 16:00	59.1	38.3	1
1/1/2010 17:00	58	38.7	1
1/1/2010 18:00	54.5	38.2	1
1/1/2010 19:00	51.3	38.5	1
1/1/2010 20:00	49.2	38.4	1
1/1/2010 21:00	48.1	38.5	1
1/1/2010 22:00	47.2	38.5	1
1/1/2010 23:00	46.4	38.4	1
1/2/2010 0:00	46.5	38.2	1
1/2/2010 1:00	44.9	37.8	1
1/2/2010 2:00	44.4	37.7	1
1/2/2010 3:00	44.1	37.6	1
1/2/2010 4:00	43.9	37.6	1
1/2/2010 5:00	43.3	37.3	1
12/30/2010 18:00	54.1	37.9	1
12/30/2010 19:00	50.9	38.2	1
12/30/2010 20:00	49	38	1
12/30/2010 21:00	47.9	38.1	1
12/30/2010 22:00	46.9	38	1
12/30/2010 23:00	46.1	37.9	1
12/31/2010 0:00	46.1	37.5	1
12/31/2010 1:00	44.5	37.2	1
12/31/2010 2:00	44.1	37	1
12/31/2010 3:00	43.7	36.9	1
12/31/2010 4:00	43.5	36.8	1
12/31/2010 5:00	42.9	36.5	1
12/31/2010 6:00	43	36.1	1
12/31/2010 7:00	42.2	35.7	1
12/31/2010 8:00	42.5	36.1	1
12/31/2010 9:00	46	37.7	1
12/31/2010 10:00	49.4	38	1
12/31/2010 11:00	52.4	38	1
12/31/2010 12:00	54.7	37.9	1
12/31/2010 13:00	56.9	38.2	1
12/31/2010 14:00	58.2	37.9	1
12/31/2010 15:00	58.8	37.9	1
12/31/2010 16:00	58.8	37.9	1
12/31/2010 17:00	57.6	38.2	1
12/31/2010 18:00	54.3	37.8	1
12/31/2010 19:00	51.1	38.1	1
12/31/2010 20:00	49	37.9	1
12/31/2010 21:00	47.9	37.9	1
12/31/2010 22:00	46.9	37.9	1
12/31/2010 23:00	46.2	37.7	1
